"Number","Material Description (Name)","Number (Relationships.Formulation.Title Block)","SBU Category (Relationships.Formulation.Formulation Attributes)","Dossier Type (Relationships.Formulation.Formulation Attributes)","Lifecycle Phase (Relationships.Formulation.Title Block)","Lifecycle Phase","Triangulated (Page Two)","Marketed Countries (Page Three)","Country lead cluster","Region","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Created on (Page Two)","Year created","Repack","SBU Category","Brand","UI","UI Description","Galenical form","Volume 4","Volume 3","Volume 2","Class of goods","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Roman Number","Low performer","Samples","Galenical form","Combipack (Page Three)"
"84861227","BEPANTHEN 100g+30g CMA MX","1600198","Dermatology","Cosmetic;Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Combi","1","Piece [PCE]","07/13/2015 04:51:24 PM CEST","2015","YES","Dermatology","BEPANTHEN","1600198","BEPANTHEN 5 % Ointment","Semi-solid|Ointment","  85 ","  112 ","  86 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Semi-solid|Ointment","Yes"
"85009826","REDOXITOS NA masticable 6x25 AR","1610609","Nutritionals","Food","Active","Active","No","Argentina [AR]","Argentina","LATAM","Pouch","1","Piece [PCE]","08/27/2015 02:56:26 PM CEST","2015","NO","Nutritionals","REDOXON","1610609","REDOXON 30 mg Gumdrop","Solid|Confectionery|Gumdrop","  52 ","  84 ","  62 ","DP (Display)","Pouch","1","Piece [PCE]","IX","","NO","Solid|Confectionery|Gumdrop","No"
"85171933","ALKA SELTZER BOOST 10TAB EF MX","1610082","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","10","Piece [PCE]","01/20/2016 09:58:58 PM CET","2016","NO","Digestive Health","ALKA-SELTZER","1610082","ALKA SELTZER Effervescent Tablets   ","Solid|Tablet|Effervescent","  2,916 ","  3,065 ","  2,499 ","SG (Sales Goods)","Sachet","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85172069","ALKA SELTZER 12 TAB EF MX","1600001","Digestive Health","Pharma","Active","Active","Yes","Mexico [MX];Panama [PA];Venezuela [VE]","Mexico","LATAM","Sachet","12","Piece [PCE]","01/20/2016 11:31:28 PM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  4,131 ","  4,509 ","  3,918 ","SG (Sales Goods)","Sachet","12","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85172158","ALKA SELTZER 100TAB EF MX","1600001","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","100","Piece [PCE]","01/20/2016 11:34:39 PM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  (101,891)","  1,111 ","  1,047 ","SG (Sales Goods)","Sachet","100","Piece [PCE]","VI","X","NO","Solid|Tablet|Effervescent","No"
"85172042","ALKA SELTZER 10TAB EF MX","1600001","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","10","Piece [PCE]","01/20/2016 11:30:29 PM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  893 ","  876 ","  901 ","SG (Sales Goods)","Sachet","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85186264","Redoxon Gotas 20ml BR","1600219","Nutritionals","Pharma","Active","Active","No","Brazil [BR]","Brazil","LATAM","Bottle","20","Millilitre [ML]","02/02/2016 01:31:15 PM CET","2016","NO","Nutritionals","REDOXON","1600219","REDOXON 20 % Solution","Liquid|Oral Solution","  2,045 ","  2,530 ","  2,466 ","SG (Sales Goods)","Bottle","20","Millilitre [ML]","IX","","NO","Liquid|Oral Solution","No"
"85172166","ALKA SELTZER 12+2 TAB EF MX","1600001","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","12","Piece [PCE]","01/21/2016 12:30:46 AM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  900 ","  400 ","  985 ","SG (Sales Goods)","Sachet","12","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85186213","PROTOVIT PLUS GOTAS 20ML BR","1600218","Nutritionals","Pharma","Active","Active","No","Brazil [BR]","Brazil","LATAM","Bottle","20","Millilitre [ML]","02/02/2016 12:50:13 PM CET","2016","NO","Nutritionals","PROTOVIT","1600218","PROTOVIT Oral drops, solution","Liquid|Oral drops, solution","  136 ","  297 ","  288 ","SG (Sales Goods)","Bottle","20","Millilitre [ML]","IX","","NO","Liquid|Oral drops, solution","No"
"85172077","ALKA S LIMA LIMON 12TAB EF MX","1600132","Digestive Health","Monograph","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","12","Piece [PCE]","01/20/2016 11:33:08 PM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600132","ALKA SELTZER Flavoured Effervescent Tablet","Solid|Tablet|Effervescent","  455 ","  430 ","  389 ","SG (Sales Goods)","Sachet","12","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85218174","ALKA S 10+4 TAEF EMPL MX","1600001","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","14","Piece [PCE]","03/04/2016 12:01:47 AM CET","2016","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  120 ","  110 ","  148 ","SG (Sales Goods)","Sachet","14","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85267353","ALKA SELTZER 100S MX","1600001","Digestive Health","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","100","Piece [PCE]","04/14/2016 04:08:36 PM CEST","2016","YES","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  77 ","  81 ","  79 ","SG (Sales Goods)","Sachet","100","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85321773","ACTRON PEDIAT 2% BBL x100 UY","1600103","Analgesics","Pharma","Active","Active","Yes","Uruguay [UY]","Other Conosur","LATAM","Bottle","100","Millilitre [ML]","04/28/2016 04:14:07 PM CEST","2016","NO","Analgesics","AKTREN","1600103","AKTREN 2 % Suspension","Liquid|Oral Suspension","  21 ","  29 ","  27 ","SG (Sales Goods)","Bottle","100","Millilitre [ML]","IX","","NO","Liquid|Oral Suspension","No"
"85297139","ACID MANTLE LOCION X400ML CO","1610419","Dermatology","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Bottle","400","Millilitre [ML]","05/12/2016 01:05:14 AM CEST","2016","NO","Dermatology","ACID MANTLE","1610419","ACID MANTLE N 0.05 g Lotion","Liquid|Lotion","  52 ","  7 ","  16 ","SG (Sales Goods)","Bottle","400","Millilitre [ML]","IX","","NO","Liquid|Lotion","No"
"85297155","TRIPACK ACID MANTLE SOAP X 90GR CO","1610538","Dermatology","Cosmetic","Active","Active","No","Colombia [CO]","Colombia","LATAM","Combi","1","Piece [PCE]","05/12/2016 01:41:13 AM CEST","2016","NO","Dermatology","ACID MANTLE","1610538","ACID MANTLE Soap Bar","Other|Soap Bar","  313 ","  256 ","  328 ","SG (Sales Goods)","Combi","1","Piece [PCE]","VI","X","NO","Other|Soap Bar","Yes"
"85297163","ACID MANTLE CREMA X60 GR CO","1610496","Dermatology","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Bottle","60","Gram [G]","05/12/2016 01:17:01 AM CEST","2016","NO","Dermatology","ACID MANTLE","1610496","ACID MANTLE 50 mg Cream","Semi-solid|Cream","  88 ","  49 ","  27 ","SG (Sales Goods)","Bottle","60","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"82428217","NATELE CAPS BLI 4X7 CO","1613092","Nutritionals","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","28","Piece [PCE]","05/25/2016 07:13:09 PM CEST","2016","NO","Nutritionals","NATELE","1613092","NATELE Soft gelatine capsules","Solid|Capsule|Soft Gelatine Capsules","  48 ","  58 ","  51 ","SG (Sales Goods)","Blister","28","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85297120","ACID MANTLE  LOCION X120ML CO","1610419","Dermatology","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Bottle","120","Millilitre [ML]","05/11/2016 11:32:25 PM CEST","2016","NO","Dermatology","ACID MANTLE","1610419","ACID MANTLE N 0.05 g Lotion","Liquid|Lotion","  194 ","  191 ","  163 ","SG (Sales Goods)","Bottle","120","Millilitre [ML]","IX","","NO","Liquid|Lotion","No"
"85305530","ACIDMANTLE LOCx400ML+120ML OFERTA CO","1610419","Dermatology","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Combi","1","Piece [PCE]","05/16/2016 04:41:42 PM CEST","2016","NO","Dermatology","ACID MANTLE","1610419","ACID MANTLE N 0.05 g Lotion","Liquid|Lotion","  186 ","  171 ","  191 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Liquid|Lotion","Yes"
"81042144","NATELE CAPS BLI 4X7 LAT","1613092","Nutritionals","Pharma","Active","Active","Yes","Bolivia [BO];Ecuador [EC];Uruguay [UY]","Ecuador","LATAM","Blister","28","Piece [PCE]","05/25/2016 07:10:57 PM CEST","2016","NO","Nutritionals","NATELE","1613092","NATELE Soft gelatine capsules","Solid|Capsule|Soft Gelatine Capsules","  24 ","  42 ","  27 ","SG (Sales Goods)","Blister","28","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85306103","APRONAX 550MG X 60TAB PAGUE 3 LLEVE 4 CO","1601126","Analgesics","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Combi","1","Piece [PCE]","05/17/2016 11:54:20 PM CEST","2016","YES","Analgesics","APRONAX","1601126","APRONAX  550 mg Film-coated Tablet","Solid|Tablet|Film-coated","  22 ","  23 ","  23 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","Yes"
"85478087","TABCIN ACTIVE 12'S 2 PACK","1613806","Cough & Cold","Pharma","Active","Phase-Out","No","Mexico [MX]","Mexico","LATAM","Combi","1","Piece [PCE]","07/08/2016 06:38:55 PM CEST","2016","YES","Cough & Cold","TABCIN","1613806","TABCIN Active Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  141 ","  187 ","  103 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","Yes"
"85478257","TABCIN NOCHE CAPS 12'S 2 PACK MX","1613805","Cough & Cold","Pharma","Active","Phase-Out","No","Mexico [MX]","Mexico","LATAM","Combi","1","Piece [PCE]","07/08/2016 06:50:37 PM CEST","2016","YES","Cough & Cold","TABCIN","1613805","TABCIN Noche Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  151 ","  199 ","  101 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","Yes"
"85477749","Canesten Gyne GEL 15 MX","1611777","Dermatology","Cosmetic","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","15","Gram [G]","07/06/2016 11:18:58 AM CEST","2016","NO","Dermatology","CANESTEN GYNE","1611777","CANESTEN GYNE Gel","Semi-solid|Gel","  88 ","  83 ","  44 ","SG (Sales Goods)","Tube Flexible","15","Gram [G]","IX","","NO","Semi-solid|Gel","No"
"85467409","Bepanthen Sensicalm CREA TUF 20g MX","1610821","Dermatology","Medical Device","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","20","Gram [G]","06/27/2016 10:22:25 AM CEST","2016","NO","Dermatology","BEPANTHEN","1610821","BEPANTHEN Cream ","Semi-solid|Cream","  99 ","  90 ","  15 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"85664867","Redoxitos Triple Action GUMD POU 25 CEA","1614068","Nutritionals","Food","Active","Active","Yes","Bahamas [BS];Barbados [BB];Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN]","Centro / Caribe","LATAM","Pouch","25","Piece [PCE]","01/03/2017 11:14:04 AM CET","2017","NO","Nutritionals","REDOXON","1614068","REDOXON Gumdrops","Solid|Confectionery|Gumdrop","  293 ","  285 ","  329 ","SG (Sales Goods)","Pouch","25","Piece [PCE]","IX","","NO","Solid|Confectionery|Gumdrop","No"
"85593684","SUPRADYN FTE grag x60 AR","1600128","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","60","Piece [PCE]","10/26/2016 01:11:18 PM CEST","2016","NO","Nutritionals","SUPRADYN","1600128","SUPRADYN 3 RDA Sugar-coated Tablet","Solid|Tablet|Sugar-coated","  70 ","  110 ","  98 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Tablet|Sugar-coated","No"
"85629638","TABCIN ACTIVE LIQUID GELS X60CAP","1613806","Cough & Cold","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","60","Piece [PCE]","11/08/2016 05:35:42 PM CET","2016","NO","Cough & Cold","TABCIN","1613806","TABCIN Active Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  7 ","  17 ","  9 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85629093","ACID MANTLE SOAP X90GR N.I. CO","1610538","Dermatology","Cosmetic","Active","Active","No","Colombia [CO]","Colombia","LATAM","Folding box/Carton","90","Gram [G]","11/28/2016 11:15:23 PM CET","2016","YES","Dermatology","ACID MANTLE","1610538","ACID MANTLE Soap Bar","Other|Soap Bar","  308 ","  245 ","  304 ","SG (Sales Goods)","Folding box/Carton","90","Gram [G]","IX","","NO","Other|Soap Bar","No"
"85668315","CANESPOR COMBI PHASE 1+2","1600202","Dermatology","Pharma","Active","Active","No","Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN];Nicaragua [NI];Panama [PA]","Centro / Caribe","LATAM","Combi","1","Piece [PCE]","12/14/2016 06:41:57 PM CET","2016","YES","Dermatology","CANESTEN DERM","1600202","CANESTEN DERM 1 % Cream","Semi-solid|Cream","  13 ","  14 ","  10 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Semi-solid|Cream","Yes"
"85668315","CANESPOR COMBI PHASE 1+2","1600987","Dermatology","Pharma","Active","Active","No","Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN];Nicaragua [NI];Panama [PA]","Centro / Caribe","LATAM","Combi","1","Piece [PCE]","12/14/2016 06:41:57 PM CET","2016","YES","Dermatology","CANESTEN DERM","1600202","CANESTEN DERM 1 % Cream","Semi-solid|Cream","  13 ","  14 ","  10 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Semi-solid|Cream","Yes"
"85595334","Canescalm Solu 200ml MX","1600803","Dermatology","Cosmetic","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Bottle","200","Millilitre [ML]","10/26/2016 02:37:22 PM CEST","2016","NO","Dermatology","HYDRALIN","1600803","HYDRALIN Gyn Solution Canescalm Soothing Wash","Liquid|Cutaneous Solution","  72 ","  70 ","  57 ","SG (Sales Goods)","Bottle","200","Millilitre [ML]","VI","X","NO","Liquid|Cutaneous Solution","No"
"85650157","REDOXON DROS 20% FCO X 20ML EC","1600219","Nutritionals","Pharma","Active","Active","Yes","Ecuador [EC]","Ecuador","LATAM","Bottle","20","Millilitre [ML]","11/17/2016 04:39:46 PM CET","2016","NO","Nutritionals","REDOXON","1600219","REDOXON 20 % Solution","Liquid|Oral Solution","  263 ","  307 ","  354 ","SG (Sales Goods)","Bottle","20","Millilitre [ML]","IX","","NO","Liquid|Oral Solution","No"
"85623575","ACTRON PEDIAT 4% BBL x100 AR/BO/PY","1610249","Analgesics","Pharma","Active","Active","No","Argentina [AR];Bolivia [BO];Paraguay [PY]","Argentina","LATAM","Bottle","100","Millilitre [ML]","11/23/2016 05:34:34 PM CET","2016","NO","Analgesics","ACTRON","1610249","ACTRON Pediatrico 4% Suspension","Liquid|Oral Suspension","  2,108 ","  1,811 ","  1,951 ","SG (Sales Goods)","Bottle","100","Millilitre [ML]","IX","","NO","Liquid|Oral Suspension","No"
"85716719","ACTRONRA cap x10 CL","1601246","Analgesics","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Blister","10","Piece [PCE]","01/16/2017 02:04:55 PM CET","2017","NO","Analgesics","ACTRON","1601246","ACTRON 200 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  68 ","  72 ","  76 ","SG (Sales Goods)","Blister","10","Piece [PCE]","VI","X","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85630407","ELEVIT 30 TAB 2 PACK CLUBES MX","1610253","Nutritionals","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","PROMO","1","Piece [PCE]","11/24/2016 05:19:30 PM CET","2016","NO","Nutritionals","ELEVIT","1610253","ELEVIT Pronatal Film-coated tablet","Solid|Tablet|Film-coated","  60 ","  41 ","  71 ","SG (Sales Goods)","PROMO","1","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","Yes"
"85664883","Gino-Calm GEL SOLU 100ml BR","1600803","Dermatology","Cosmetic","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Bottle","100","Millilitre [ML]","01/04/2017 03:58:45 PM CET","2017","NO","Dermatology","HYDRALIN","1600803","HYDRALIN Gyn Solution Canescalm Soothing Wash","Liquid|Cutaneous Solution","  352 ","  260 ","  252 ","SG (Sales Goods)","Bottle","100","Millilitre [ML]","IX","","NO","Liquid|Cutaneous Solution","No"
"85656422","AFRIN NODRIP EXTRAMOI 15ML MX","1612072","Cough & Cold","Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Spray Head","15","Millilitre [ML]","10/26/2016 04:12:50 PM CEST","2016","NO","Cough & Cold","AFRIN","1612072","AFRIN No-Drip Glycerol Extra moisturizing 0.05% Nasal Spray Solution","Liquid|Nasal spray, solution","  813 ","  354 ","  463 ","SG (Sales Goods)","Spray Head","15","Millilitre [ML]","IX","","NO","Liquid|Nasal spray, solution","No"
"85629603","TABCIN NOCHE LIQUID GELS X60CAP","1613805","Cough & Cold","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","60","Piece [PCE]","11/03/2016 12:15:54 AM CET","2016","NO","Cough & Cold","TABCIN","1613805","TABCIN Noche Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  9 ","  13 ","  8 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85656430","AFRIN NO DRIP SEV CONG 15ML MX","1611974","Cough & Cold","Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Spray Head","15","Millilitre [ML]","10/20/2016 10:59:36 PM CEST","2016","NO","Cough & Cold","AFRIN","1611974","AFRIN No-Drip Menthol Severe Congestion 0.05% Nasal Spray Solution","Liquid|Nasal spray, solution","  1,108 ","  194 ","  562 ","SG (Sales Goods)","Spray Head","15","Millilitre [ML]","IX","","NO","Liquid|Nasal spray, solution","No"
"85615351","REDOXON 20% gta x20ml PY","1600219","Nutritionals","Pharma","Active","Active","Yes","Paraguay [PY]","Other Conosur","LATAM","Bottle","20","Millilitre [ML]","11/04/2016 07:47:24 PM CET","2016","NO","Nutritionals","REDOXON","1600219","REDOXON 20 % Solution","Liquid|Oral Solution","  50 ","  62 ","  60 ","SG (Sales Goods)","Bottle","20","Millilitre [ML]","IX","","NO","Liquid|Oral Solution","No"
"85614444","BEPANTOL BABY 30G Promo BR","1600198","Dermatology","Cosmetic;Pharma","Active","Active","No","Brazil [BR]","Brazil","LATAM","Tube Flexible","30","Gram [G]","11/16/2016 02:34:16 PM CET","2016","NO","Dermatology","BEPANTHEN","1600198","BEPANTHEN 5 % Ointment","Semi-solid|Ointment","  4,160 ","  3,516 ","  3,477 ","SG (Sales Goods)","Tube Flexible","30","Gram [G]","IX","","NO","Semi-solid|Ointment","Yes"
"85662511","Redoxon DROS 20ml MX","1600219","Nutritionals","Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Bottle","20","Millilitre [ML]","10/25/2016 04:56:17 PM CEST","2016","NO","Nutritionals","REDOXON","1600219","REDOXON 20 % Solution","Liquid|Oral Solution","  68 ","  32 ","  47 ","SG (Sales Goods)","Bottle","20","Millilitre [ML]","IX","","NO","Liquid|Oral Solution","No"
"85690604","Lotrimin Uno CREA 20gr MX","1600202","Dermatology","Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","20","Gram [G]","01/30/2017 01:16:27 PM CET","2017","NO","Dermatology","CANESTEN DERM","1600202","CANESTEN DERM 1 % Cream","Semi-solid|Cream","  1,007 ","  720 ","  626 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"85729640","REDOX INF 100TAB M-SAB NF MX","1600036","Nutritionals","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Bottle","100","Piece [PCE]","03/01/2017 11:13:46 PM CET","2017","NO","Nutritionals","REDOXON","1600036","REDOXON Infantil Cherry 100 mg Chewable Tablet","Solid|Tablet|Chewable","  903 ","  723 ","  856 ","DP (Display)","Bottle","100","Piece [PCE]","IX","","NO","Solid|Tablet|Chewable","Yes"
"85729640","REDOX INF 100TAB M-SAB NF MX","1600037","Nutritionals","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Bottle","100","Piece [PCE]","03/01/2017 11:13:46 PM CET","2017","NO","Nutritionals","REDOXON","1600036","REDOXON Infantil Cherry 100 mg Chewable Tablet","Solid|Tablet|Chewable","  903 ","  723 ","  856 ","DP (Display)","Bottle","100","Piece [PCE]","IX","","NO","Solid|Tablet|Chewable","Yes"
"85729640","REDOX INF 100TAB M-SAB NF MX","1600038","Nutritionals","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Bottle","100","Piece [PCE]","03/01/2017 11:13:46 PM CET","2017","NO","Nutritionals","REDOXON","1600036","REDOXON Infantil Cherry 100 mg Chewable Tablet","Solid|Tablet|Chewable","  903 ","  723 ","  856 ","DP (Display)","Bottle","100","Piece [PCE]","IX","","NO","Solid|Tablet|Chewable","Yes"
"85698753","Bepantol Sensicalm CREA TUBE 275mL BR","1611297","Dermatology","Cosmetic","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Tube Flexible","275","Millilitre [ML]","02/07/2017 11:28:45 AM CET","2017","NO","Dermatology","BEPANTHOL","1611297","BEPANTHOL Baby Eczema Skin Protection Cream","Semi-solid|Cream","  28 ","  21 ","  26 ","SG (Sales Goods)","Tube Flexible","275","Millilitre [ML]","IX","","NO","Semi-solid|Cream","No"
"85986724","Dorival LG 200mg 12","1611235","Analgesics","Pharma","Active","Active","No","Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN];Nicaragua [NI];Panama [PA]","Centro / Caribe","LATAM","Blister","12","Piece [PCE]","06/29/2017 04:31:37 PM CEST","2017","NO","Analgesics","ACTRON","1611235","ACTRON NF 200 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  336 ","  350 ","  282 ","SG (Sales Goods)","Blister","12","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85986732","Dorival LG 200mg 36","1611235","Analgesics","Pharma","Active","Active","No","Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN];Nicaragua [NI];Panama [PA]","Centro / Caribe","LATAM","Blister","36","Piece [PCE]","06/29/2017 04:32:27 PM CEST","2017","NO","Analgesics","ACTRON","1611235","ACTRON NF 200 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  174 ","  125 ","  300 ","SG (Sales Goods)","Blister","36","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"85990667","Apronax Liquid Gel 275mg EC x 50","1611106","Analgesics","Pharma","Active","Active","No","Ecuador [EC]","Ecuador","LATAM","Blister","50","Piece [PCE]","07/05/2017 11:45:07 AM CEST","2017","NO","Analgesics","APRONAX","1611106","APRONAX 275 mg Soft Gelatine Capsules ","Solid|Capsule|Soft Gelatine Capsules","  52 ","  50 ","  48 ","SG (Sales Goods)","Blister","50","Piece [PCE]","VI","X","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"86101882","Clarityne CORT. TAB 10 GT","1612127","Allergy","Pharma","Active","Active","Yes","Nicaragua [NI];Costa Rica [CR];Dom. Rep.[DO];El Salvador [SV];Guatemala [GT];Honduras [HN];Jamaica [JM];Panama [PA];Trinidad and Tobago [TT]","Centro / Caribe","LATAM","Blister","10","Piece [PCE]","08/16/2017 10:28:48 PM CEST","2017","NO","Allergy","CELESTAMINE","1612127","CELESTAMINE Claricort Plain Tablets","Solid|Tablet|Plain","  16 ","  32 ","  14 ","SG (Sales Goods)","Blister","10","Piece [PCE]","IX","","NO","Solid|Tablet|Plain","No"
"85898620","BEPANTHEN MULTIUSOS 5% OINT 30 G MX","1600198","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","30","Gram [G]","04/25/2017 02:16:31 PM CEST","2017","NO","Dermatology","BEPANTHEN","1600198","BEPANTHEN 5 % Ointment","Semi-solid|Ointment","  1,959 ","  1,910 ","  1,810 ","SG (Sales Goods)","Tube Flexible","30","Gram [G]","IX","","NO","Semi-solid|Ointment","No"
"85999435","Redoxon TA Orange TAEF TUBE 1x10 BR","1611555","Nutritionals","Food;Pharma","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Tube Rigid","10","Piece [PCE]","07/12/2017 10:42:05 AM CEST","2017","NO","Nutritionals","REDOXON","1611555","REDOXON Triple Action Effervescent Tablet","Solid|Tablet|Effervescent","  1,075 ","  1,225 ","  1,463 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"85993313","REDOXITOS FRU GUMD 6x25 AR","1614137","Nutritionals","Food","Active","Active","No","Paraguay [PY];Bolivia [BO];Argentina [AR]","Argentina","LATAM","Pouch","1","Piece [PCE]","07/06/2017 08:07:55 PM CEST","2017","NO","Nutritionals","REDOXON","1614137","REDOXON Redoxitos 30 mg Strawberry Gumdrops","Solid|Confectionery|Gumdrop","  39 ","  61 ","  44 ","DP (Display)","Pouch","1","Piece [PCE]","IX","","NO","Solid|Confectionery|Gumdrop","No"
"85993348","SUPRADYN MIX GUMS 6x25 AR","1611407","Nutritionals","Food","Active","Active","Yes","Uruguay [UY];Argentina [AR]","Argentina","LATAM","Display","1","Piece [PCE]","07/06/2017 08:23:19 PM CEST","2017","NO","Nutritionals","SUPRADYN","1611407","SUPRADYN Gummies","Solid|Confectionery|Gumdrop","  43 ","  44 ","  35 ","DP (Display)","Display","1","Piece [PCE]","IX","","NO","Solid|Confectionery|Gumdrop","No"
